item_id,store_id,date,y,yhat_mean,yhat_var
11.0,6.0,2016-01-01,7.0,5.7,15.81
34.0,4.0,2016-01-01,0.0,0.91,1.63
62.0,9.0,2016-01-01,3.0,3.68,6.4
6.0,6.0,2016-01-01,0.0,0.18,0.19
83.0,7.0,2016-01-01,1.0,0.61,0.99
57.0,0.0,2016-01-01,5.0,3.54,13.32
50.0,9.0,2016-01-01,0.0,0.51,0.67
72.0,0.0,2016-01-01,4.0,4.73,10.47
68.0,0.0,2016-01-01,0.0,2.53,8.93
44.0,7.0,2016-01-01,0.0,1.05,1.8
66.0,5.0,2016-01-01,2.0,0.78,1.4
65.0,4.0,2016-01-01,1.0,0.65,0.86
80.0,3.0,2016-01-01,4.0,2.41,8.24
76.0,1.0,2016-01-01,1.0,0.47,0.7
97.0,4.0,2016-01-01,0.0,0.44,0.57
56.0,7.0,2016-01-01,2.0,1.64,1.64
10.0,2.0,2016-01-01,1.0,0.48,0.71
81.0,2.0,2016-01-01,2.0,1.74,3.5
8.0,2.0,2016-01-01,0.0,1.0,1.51
98.0,4.0,2016-01-01,2.0,2.77,8.67
50.0,2.0,2016-01-01,0.0,0.26,0.31
27.0,3.0,2016-01-01,0.0,0.27,0.3
37.0,9.0,2016-01-01,0.0,0.57,0.66
88.0,1.0,2016-01-01,1.0,1.17,2.03
66.0,8.0,2016-01-01,2.0,1.65,4.36
13.0,8.0,2016-01-01,0.0,0.11,0.12
74.0,8.0,2016-01-01,4.0,3.02,9.86
40.0,4.0,2016-01-01,3.0,5.42,12.96
60.0,5.0,2016-01-01,0.0,0.09,0.1
29.0,0.0,2016-01-01,1.0,1.63,4.29
80.0,7.0,2016-01-01,0.0,3.14,13.03
74.0,3.0,2016-01-01,0.0,1.08,2.11
78.0,7.0,2016-01-01,4.0,3.67,11.64
80.0,4.0,2016-01-01,15.0,5.98,41.75
11.0,8.0,2016-01-01,2.0,3.18,6.93
13.0,1.0,2016-01-01,0.0,1.07,1.78
30.0,9.0,2016-01-01,6.0,6.18,18.4
45.0,4.0,2016-01-01,0.0,0.82,1.5
26.0,5.0,2016-01-01,2.0,2.47,7.06
49.0,5.0,2016-01-01,0.0,0.35,0.39
50.0,1.0,2016-01-01,0.0,0.35,0.47
33.0,0.0,2016-01-01,1.0,0.97,1.17
24.0,3.0,2016-01-01,0.0,1.45,3.56
21.0,6.0,2016-01-01,0.0,0.36,0.36
16.0,0.0,2016-01-01,13.0,8.13,18.68
15.0,3.0,2016-01-01,1.0,1.05,1.52
75.0,7.0,2016-01-01,0.0,0.28,0.31
79.0,8.0,2016-01-01,1.0,0.44,0.63
28.0,1.0,2016-01-01,1.0,0.3,0.33
72.0,8.0,2016-01-01,7.0,3.88,10.16
5.0,5.0,2016-01-01,4.0,1.79,3.5
24.0,1.0,2016-01-01,10.0,5.51,29.9
52.0,9.0,2016-01-01,2.0,1.04,1.53
92.0,9.0,2016-01-01,1.0,0.69,0.94
62.0,8.0,2016-01-01,4.0,2.24,2.92
17.0,0.0,2016-01-01,1.0,1.07,1.23
45.0,2.0,2016-01-01,0.0,0.77,1.37
64.0,8.0,2016-01-01,0.0,0.19,0.22
5.0,4.0,2016-01-01,3.0,1.74,3.79
2.0,8.0,2016-01-01,2.0,0.3,0.37
0.0,7.0,2016-01-01,0.0,0.39,0.53
65.0,0.0,2016-01-01,1.0,1.37,2.61
11.0,7.0,2016-01-01,1.0,2.83,5.03
15.0,7.0,2016-01-01,1.0,0.97,1.32
9.0,1.0,2016-01-01,6.0,1.5,3.21
44.0,1.0,2016-01-01,0.0,0.44,0.6
73.0,0.0,2016-01-01,0.0,5.2,31.86
69.0,6.0,2016-01-01,0.0,0.51,0.67
23.0,3.0,2016-01-01,2.0,0.84,1.35
51.0,5.0,2016-01-01,2.0,0.92,1.22
35.0,6.0,2016-01-01,2.0,0.09,0.1
47.0,7.0,2016-01-01,8.0,3.03,12.08
3.0,9.0,2016-01-01,7.0,4.98,16.66
88.0,5.0,2016-01-01,0.0,1.62,2.24
3.0,2.0,2016-01-01,4.0,7.44,29.64
82.0,8.0,2016-01-01,0.0,0.16,0.19
26.0,4.0,2016-01-01,2.0,1.49,3.21
37.0,3.0,2016-01-01,1.0,0.32,0.39
65.0,9.0,2016-01-01,1.0,0.88,1.29
29.0,5.0,2016-01-01,0.0,0.35,0.48
35.0,2.0,2016-01-01,3.0,1.02,1.24
95.0,8.0,2016-01-01,1.0,0.71,0.9
68.0,6.0,2016-01-01,1.0,2.03,6.15
14.0,8.0,2016-01-01,0.0,0.43,0.62
92.0,8.0,2016-01-01,0.0,0.71,0.95
1.0,9.0,2016-01-01,2.0,3.55,10.22
20.0,3.0,2016-01-01,0.0,0.53,0.57
38.0,0.0,2016-01-01,1.0,1.0,2.0
78.0,8.0,2016-01-01,6.0,10.13,89.1
18.0,0.0,2016-01-01,3.0,1.83,2.63
72.0,1.0,2016-01-01,5.0,1.25,2.35
14.0,2.0,2016-01-01,3.0,1.28,2.91
48.0,3.0,2016-01-01,0.0,0.49,0.49
37.0,7.0,2016-01-01,1.0,0.62,0.78
92.0,5.0,2016-01-01,0.0,0.48,0.6
20.0,2.0,2016-01-01,1.0,0.59,0.69
64.0,2.0,2016-01-01,0.0,0.29,0.37
0.0,4.0,2016-01-01,1.0,0.91,1.75
39.0,2.0,2016-01-01,1.0,0.18,0.2
98.0,7.0,2016-01-01,2.0,2.25,4.81
5.0,0.0,2016-01-01,8.0,6.36,29.76
16.0,2.0,2016-01-01,31.0,13.62,73.19
55.0,8.0,2016-01-01,14.0,17.05,192.71
87.0,8.0,2016-01-01,26.0,22.06,174.61
98.0,1.0,2016-01-01,5.0,4.93,19.52
82.0,6.0,2016-01-01,1.0,0.52,0.75
8.0,8.0,2016-01-01,2.0,2.68,7.37
39.0,9.0,2016-01-01,0.0,0.2,0.23
62.0,5.0,2016-01-01,2.0,2.47,3.02
96.0,3.0,2016-01-01,0.0,0.56,0.66
88.0,4.0,2016-01-01,1.0,0.85,1.17
97.0,0.0,2016-01-01,0.0,0.47,0.69
59.0,3.0,2016-01-01,1.0,0.1,0.11
25.0,0.0,2016-01-01,0.0,1.35,1.67
69.0,3.0,2016-01-01,0.0,0.95,1.69
8.0,1.0,2016-01-01,1.0,1.28,2.38
89.0,6.0,2016-01-01,11.0,1.99,5.34
9.0,6.0,2016-01-01,2.0,0.45,0.56
76.0,3.0,2016-01-01,0.0,0.07,0.07
47.0,5.0,2016-01-01,23.0,9.16,93.14
52.0,2.0,2016-01-01,0.0,1.33,2.49
75.0,6.0,2016-01-01,0.0,0.57,0.89
76.0,4.0,2016-01-01,0.0,0.11,0.13
6.0,8.0,2016-01-01,0.0,0.21,0.23
32.0,0.0,2016-01-01,1.0,1.94,2.46
93.0,1.0,2016-01-01,0.0,0.99,1.51
51.0,1.0,2016-01-01,0.0,0.77,1.25
1.0,2.0,2016-01-01,6.0,6.82,28.49
13.0,6.0,2016-01-01,1.0,0.43,0.59
17.0,5.0,2016-01-01,1.0,0.6,0.61
64.0,5.0,2016-01-01,1.0,0.48,0.54
26.0,8.0,2016-01-01,1.0,2.07,5.05
85.0,3.0,2016-01-01,1.0,0.31,0.36
10.0,3.0,2016-01-01,0.0,0.34,0.45
2.0,5.0,2016-01-01,3.0,2.28,4.12
55.0,2.0,2016-01-01,24.0,27.39,176.55
15.0,4.0,2016-01-01,0.0,0.54,0.74
36.0,2.0,2016-01-01,0.0,1.31,2.07
73.0,2.0,2016-01-01,0.0,6.53,42.33
93.0,5.0,2016-01-01,0.0,0.61,0.81
91.0,2.0,2016-01-01,2.0,1.09,1.34
61.0,0.0,2016-01-01,1.0,3.0,5.12
52.0,5.0,2016-01-01,5.0,1.85,4.42
57.0,6.0,2016-01-01,1.0,2.98,10.49
35.0,3.0,2016-01-01,0.0,0.81,1.0
62.0,7.0,2016-01-01,1.0,1.28,1.56
89.0,5.0,2016-01-01,0.0,1.72,2.91
85.0,4.0,2016-01-01,0.0,1.39,3.22
80.0,1.0,2016-01-01,4.0,5.13,31.44
36.0,0.0,2016-01-01,0.0,0.85,1.2
55.0,5.0,2016-01-01,44.0,48.29,523.32
16.0,5.0,2016-01-01,20.0,15.2,84.18
68.0,8.0,2016-01-01,1.0,3.64,16.85
78.0,6.0,2016-01-01,2.0,4.03,12.35
68.0,7.0,2016-01-01,3.0,1.71,4.65
63.0,0.0,2016-01-01,2.0,1.23,2.76
57.0,9.0,2016-01-01,1.0,2.95,9.11
60.0,3.0,2016-01-01,0.0,0.33,0.41
53.0,2.0,2016-01-01,3.0,0.85,1.13
13.0,7.0,2016-01-01,0.0,0.43,0.57
9.0,2.0,2016-01-01,1.0,1.2,1.95
61.0,5.0,2016-01-01,0.0,1.62,2.58
86.0,2.0,2016-01-01,52.0,61.19,664.78
24.0,5.0,2016-01-01,0.0,5.63,37.32
16.0,4.0,2016-01-01,9.0,6.81,25.97
19.0,3.0,2016-01-01,9.0,1.44,3.52
88.0,7.0,2016-01-01,3.0,0.79,0.97
73.0,5.0,2016-01-01,2.0,0.84,1.55
44.0,6.0,2016-01-01,0.0,0.28,0.34
39.0,7.0,2016-01-01,0.0,0.15,0.17
26.0,6.0,2016-01-01,2.0,2.19,5.43
61.0,7.0,2016-01-01,2.0,1.76,2.94
14.0,4.0,2016-01-01,1.0,0.06,0.07
86.0,6.0,2016-01-01,48.0,73.37,1988.03
44.0,2.0,2016-01-01,0.0,0.92,1.36
66.0,4.0,2016-01-01,0.0,1.07,2.22
73.0,4.0,2016-01-01,0.0,0.47,0.69
83.0,3.0,2016-01-01,0.0,0.61,0.89
47.0,6.0,2016-01-01,37.0,4.99,29.84
37.0,2.0,2016-01-01,0.0,0.93,1.2
31.0,7.0,2016-01-01,2.0,0.32,0.38
30.0,8.0,2016-01-01,11.0,7.12,27.29
62.0,2.0,2016-01-01,3.0,1.73,2.03
97.0,6.0,2016-01-01,0.0,0.4,0.55
40.0,5.0,2016-01-01,8.0,10.53,82.61
56.0,6.0,2016-01-01,0.0,0.44,0.51
65.0,2.0,2016-01-01,4.0,2.26,4.26
70.0,6.0,2016-01-01,8.0,3.8,8.55
8.0,5.0,2016-01-01,4.0,1.13,1.97
33.0,6.0,2016-01-01,0.0,0.86,1.05
1.0,3.0,2016-01-01,0.0,3.38,9.59
16.0,1.0,2016-01-01,16.0,7.06,18.25
80.0,5.0,2016-01-01,4.0,12.56,170.23
46.0,8.0,2016-01-01,0.0,0.99,1.52
63.0,5.0,2016-01-01,1.0,0.82,1.48
59.0,9.0,2016-01-01,0.0,0.21,0.25
20.0,8.0,2016-01-01,3.0,0.91,1.02
80.0,0.0,2016-01-01,4.0,2.96,11.69
53.0,1.0,2016-01-01,5.0,0.25,0.28
26.0,1.0,2016-01-01,4.0,5.45,28.68
35.0,4.0,2016-01-01,0.0,0.17,0.19
2.0,6.0,2016-01-01,1.0,0.62,0.79
85.0,9.0,2016-01-01,1.0,0.29,0.35
45.0,8.0,2016-01-01,1.0,1.25,2.82
33.0,1.0,2016-01-01,1.0,0.71,0.82
47.0,2.0,2016-01-01,8.0,3.09,12.62
10.0,9.0,2016-01-01,0.0,0.42,0.51
18.0,2.0,2016-01-01,3.0,0.52,0.69
51.0,3.0,2016-01-01,0.0,0.52,0.64
52.0,8.0,2016-01-01,0.0,1.81,3.39
93.0,6.0,2016-01-01,2.0,0.13,0.14
53.0,9.0,2016-01-01,0.0,0.27,0.29
6.0,7.0,2016-01-01,0.0,0.13,0.14
61.0,8.0,2016-01-01,2.0,3.35,5.76
81.0,1.0,2016-01-01,0.0,1.44,2.84
65.0,6.0,2016-01-01,2.0,0.97,1.44
59.0,4.0,2016-01-01,0.0,0.59,0.89
63.0,9.0,2016-01-01,0.0,0.57,0.89
28.0,6.0,2016-01-01,0.0,0.25,0.3
73.0,7.0,2016-01-01,3.0,2.39,7.11
87.0,5.0,2016-01-01,17.0,19.43,154.9
23.0,8.0,2016-01-01,1.0,0.68,0.97
96.0,2.0,2016-01-01,2.0,1.07,1.63
89.0,0.0,2016-01-01,0.0,0.07,0.08
81.0,5.0,2016-01-01,1.0,0.53,0.82
96.0,1.0,2016-01-01,1.0,0.45,0.5
91.0,1.0,2016-01-01,1.0,0.71,0.89
57.0,3.0,2016-01-01,2.0,1.05,2.06
33.0,9.0,2016-01-01,3.0,1.25,1.43
29.0,6.0,2016-01-01,0.0,0.78,1.38
40.0,6.0,2016-01-01,2.0,2.34,3.51
57.0,1.0,2016-01-01,2.0,2.45,7.74
5.0,6.0,2016-01-01,2.0,1.22,2.13
19.0,1.0,2016-01-01,0.0,2.15,6.8
30.0,3.0,2016-01-01,2.0,3.34,6.07
12.0,4.0,2016-01-01,0.0,0.18,0.21
42.0,3.0,2016-01-01,0.0,0.64,1.05
21.0,9.0,2016-01-01,0.0,0.32,0.43
56.0,5.0,2016-01-01,0.0,0.09,0.09
42.0,1.0,2016-01-01,0.0,0.67,1.12
6.0,9.0,2016-01-01,1.0,0.18,0.19
97.0,2.0,2016-01-01,0.0,0.04,0.05
76.0,9.0,2016-01-01,0.0,0.39,0.54
26.0,0.0,2016-01-01,2.0,3.69,15.06
76.0,2.0,2016-01-01,1.0,0.45,0.66
45.0,0.0,2016-01-01,1.0,0.82,1.5
35.0,5.0,2016-01-01,2.0,0.63,0.83
23.0,2.0,2016-01-01,1.0,0.9,1.44
23.0,1.0,2016-01-01,1.0,1.29,2.33
84.0,4.0,2016-01-01,4.0,1.23,2.64
83.0,5.0,2016-01-01,1.0,1.44,3.5
75.0,2.0,2016-01-01,0.0,0.28,0.35
1.0,6.0,2016-01-01,2.0,4.16,15.91
19.0,4.0,2016-01-01,0.0,1.58,4.07
60.0,0.0,2016-01-01,0.0,0.58,0.89
32.0,7.0,2016-01-01,2.0,3.73,8.06
98.0,5.0,2016-01-01,8.0,3.85,14.43
97.0,5.0,2016-01-01,0.0,0.1,0.11
9.0,9.0,2016-01-01,1.0,0.7,0.99
15.0,8.0,2016-01-01,6.0,2.09,5.34
57.0,7.0,2016-01-01,1.0,1.69,3.85
74.0,5.0,2016-01-01,2.0,5.18,27.37
46.0,4.0,2016-01-01,5.0,2.84,7.13
55.0,4.0,2016-01-01,29.0,21.62,208.87
45.0,6.0,2016-01-01,2.0,1.03,2.09
52.0,3.0,2016-01-01,0.0,0.41,0.58
33.0,2.0,2016-01-01,1.0,0.85,1.0
5.0,3.0,2016-01-01,2.0,1.16,1.86
83.0,4.0,2016-01-01,0.0,0.16,0.19
15.0,2.0,2016-01-01,3.0,2.89,7.07
29.0,2.0,2016-01-01,1.0,1.41,3.41
84.0,5.0,2016-01-01,3.0,0.72,1.16
44.0,8.0,2016-01-01,1.0,1.14,2.07
78.0,4.0,2016-01-01,1.0,2.57,6.77
97.0,7.0,2016-01-01,1.0,0.64,1.01
46.0,7.0,2016-01-01,1.0,0.89,1.27
46.0,6.0,2016-01-01,1.0,0.88,1.39
28.0,9.0,2016-01-01,0.0,0.13,0.14
68.0,5.0,2016-01-01,2.0,0.66,1.1
40.0,8.0,2016-01-01,10.0,8.74,32.98
40.0,3.0,2016-01-01,0.0,1.53,2.6
72.0,5.0,2016-01-01,3.0,5.21,16.41
92.0,0.0,2016-01-01,0.0,4.72,8.57
94.0,2.0,2016-01-01,2.0,1.78,3.22
92.0,4.0,2016-01-01,1.0,0.29,0.37
17.0,1.0,2016-01-01,0.0,0.36,0.39
73.0,8.0,2016-01-01,0.0,2.73,9.46
65.0,5.0,2016-01-01,3.0,1.35,2.11
78.0,1.0,2016-01-01,7.0,1.68,2.36
88.0,6.0,2016-01-01,0.0,0.65,0.74
35.0,7.0,2016-01-01,2.0,0.74,0.89
75.0,5.0,2016-01-01,0.0,0.36,0.49
26.0,2.0,2016-01-01,3.0,1.1,2.15
38.0,7.0,2016-01-01,0.0,1.3,2.5
83.0,9.0,2016-01-01,0.0,2.1,6.23
70.0,1.0,2016-01-01,2.0,3.24,9.08
79.0,3.0,2016-01-01,1.0,0.38,0.51
19.0,2.0,2016-01-01,4.0,4.39,23.64
36.0,9.0,2016-01-01,0.0,0.26,0.33
67.0,2.0,2016-01-01,0.0,0.53,0.53
12.0,8.0,2016-01-01,1.0,0.43,0.62
25.0,6.0,2016-01-01,1.0,0.78,0.88
59.0,5.0,2016-01-01,0.0,0.21,0.24
30.0,2.0,2016-01-01,2.0,2.59,4.76
72.0,3.0,2016-01-01,3.0,1.3,1.5
32.0,4.0,2016-01-01,2.0,0.96,1.45
29.0,4.0,2016-01-01,0.0,0.3,0.39
52.0,6.0,2016-01-01,2.0,0.63,1.0
84.0,7.0,2016-01-01,1.0,1.28,2.75
78.0,2.0,2016-01-01,1.0,4.18,21.69
31.0,4.0,2016-01-01,0.0,0.51,0.58
99.0,7.0,2016-01-01,2.0,1.17,1.72
7.0,3.0,2016-01-01,0.0,0.37,0.51
79.0,2.0,2016-01-01,2.0,0.43,0.58
5.0,1.0,2016-01-01,3.0,5.74,25.36
50.0,8.0,2016-01-01,1.0,1.0,2.0
94.0,5.0,2016-01-01,1.0,2.64,7.05
44.0,3.0,2016-01-01,0.0,0.65,0.83
93.0,7.0,2016-01-01,1.0,0.67,1.05
69.0,8.0,2016-01-01,0.0,0.84,1.52
68.0,9.0,2016-01-01,0.0,0.8,1.45
14.0,3.0,2016-01-01,0.0,0.61,0.98
74.0,7.0,2016-01-01,1.0,1.41,2.83
50.0,4.0,2016-01-01,0.0,0.25,0.29
84.0,9.0,2016-01-01,1.0,0.69,1.1
17.0,3.0,2016-01-01,2.0,0.28,0.28
21.0,0.0,2016-01-01,1.0,2.02,4.64
25.0,1.0,2016-01-01,1.0,0.43,0.62
65.0,7.0,2016-01-01,2.0,2.1,3.52
12.0,5.0,2016-01-01,0.0,0.3,0.38
96.0,4.0,2016-01-01,0.0,0.44,0.53
82.0,4.0,2016-01-01,1.0,0.62,0.87
1.0,5.0,2016-01-01,13.0,7.17,39.28
53.0,5.0,2016-01-01,0.0,0.53,0.65
98.0,6.0,2016-01-01,1.0,1.2,2.17
29.0,7.0,2016-01-01,0.0,0.2,0.2
96.0,0.0,2016-01-01,0.0,1.69,2.36
33.0,4.0,2016-01-01,3.0,0.41,0.45
45.0,3.0,2016-01-01,0.0,0.54,0.83
42.0,0.0,2016-01-01,1.0,1.1,2.32
59.0,7.0,2016-01-01,1.0,0.81,1.18
27.0,4.0,2016-01-01,1.0,0.26,0.33
13.0,0.0,2016-01-01,1.0,0.79,1.02
40.0,1.0,2016-01-01,23.0,12.31,93.83
67.0,3.0,2016-01-01,0.0,0.21,0.22
39.0,0.0,2016-01-01,0.0,0.08,0.09
91.0,4.0,2016-01-01,0.0,0.18,0.18
34.0,6.0,2016-01-01,1.0,1.37,2.71
5.0,2.0,2016-01-01,1.0,5.56,20.12
74.0,9.0,2016-01-01,2.0,2.26,6.6
73.0,6.0,2016-01-01,1.0,1.17,2.55
51.0,7.0,2016-01-01,0.0,0.08,0.09
99.0,6.0,2016-01-01,0.0,1.03,1.84
2.0,7.0,2016-01-01,1.0,0.5,0.68
47.0,8.0,2016-01-01,41.0,17.93,339.55
9.0,3.0,2016-01-01,0.0,0.55,0.83
29.0,3.0,2016-01-01,0.0,0.13,0.13
0.0,5.0,2016-01-01,1.0,0.86,0.94
11.0,0.0,2016-01-01,23.0,13.93,61.86
93.0,2.0,2016-01-01,0.0,0.44,0.52
24.0,4.0,2016-01-01,1.0,4.19,19.86
95.0,4.0,2016-01-01,0.0,1.49,3.08
85.0,1.0,2016-01-01,0.0,0.96,1.42
12.0,9.0,2016-01-01,0.0,0.4,0.55
67.0,9.0,2016-01-01,2.0,0.18,0.18
35.0,9.0,2016-01-01,0.0,0.49,0.57
50.0,0.0,2016-01-01,0.0,0.44,0.57
32.0,9.0,2016-01-01,0.0,1.98,2.93
78.0,9.0,2016-01-01,10.0,5.04,22.77
89.0,9.0,2016-01-01,2.0,1.65,2.56
11.0,4.0,2016-01-01,6.0,4.14,9.93
80.0,9.0,2016-01-01,0.0,0.5,0.75
3.0,1.0,2016-01-01,6.0,4.6,9.44
40.0,9.0,2016-01-01,10.0,7.74,31.89
1.0,4.0,2016-01-01,8.0,7.62,46.18
40.0,2.0,2016-01-01,11.0,5.97,32.61
85.0,8.0,2016-01-01,0.0,0.42,0.53
11.0,5.0,2016-01-01,4.0,6.7,16.87
56.0,2.0,2016-01-01,1.0,0.46,0.46
0.0,1.0,2016-01-01,1.0,0.45,0.46
3.0,6.0,2016-01-01,5.0,2.92,5.57
75.0,1.0,2016-01-01,0.0,0.54,0.54
7.0,7.0,2016-01-01,0.0,0.27,0.34
55.0,9.0,2016-01-01,23.0,26.12,246.95
91.0,6.0,2016-01-01,0.0,0.5,0.62
14.0,0.0,2016-01-01,5.0,2.37,7.98
41.0,2.0,2016-01-01,14.0,7.84,44.63
94.0,3.0,2016-01-01,1.0,1.3,2.89
37.0,5.0,2016-01-01,0.0,0.48,0.58
51.0,9.0,2016-01-01,0.0,0.11,0.11
20.0,5.0,2016-01-01,0.0,0.88,1.23
28.0,3.0,2016-01-01,0.0,0.1,0.11
87.0,0.0,2016-01-01,27.0,20.34,124.51
80.0,8.0,2016-01-01,18.0,16.46,287.39
46.0,5.0,2016-01-01,4.0,2.15,4.9
36.0,3.0,2016-01-01,0.0,0.77,1.01
81.0,3.0,2016-01-01,0.0,0.65,0.84
79.0,1.0,2016-01-01,0.0,0.59,0.71
37.0,6.0,2016-01-01,1.0,0.49,0.57
79.0,7.0,2016-01-01,1.0,0.43,0.62
56.0,8.0,2016-01-01,0.0,0.37,0.37
23.0,6.0,2016-01-01,5.0,2.99,6.36
23.0,5.0,2016-01-01,0.0,1.67,2.76
23.0,4.0,2016-01-01,0.0,0.71,1.0
81.0,7.0,2016-01-01,1.0,0.66,0.99
46.0,2.0,2016-01-01,5.0,3.85,11.17
11.0,1.0,2016-01-01,4.0,5.29,14.38
61.0,2.0,2016-01-01,1.0,1.86,2.69
7.0,1.0,2016-01-01,1.0,0.41,0.58
89.0,8.0,2016-01-01,0.0,4.33,13.24
48.0,5.0,2016-01-01,0.0,0.13,0.14
34.0,7.0,2016-01-01,0.0,1.96,5.42
62.0,0.0,2016-01-01,1.0,2.86,4.5
46.0,9.0,2016-01-01,1.0,1.96,4.09
94.0,7.0,2016-01-01,30.0,9.36,39.1
82.0,0.0,2016-01-01,1.0,0.7,1.07
78.0,0.0,2016-01-01,3.0,4.12,21.07
86.0,9.0,2016-01-01,44.0,30.56,376.76
6.0,1.0,2016-01-01,0.0,0.23,0.26
9.0,0.0,2016-01-01,0.0,1.03,1.81
65.0,1.0,2016-01-01,8.0,2.97,11.8
51.0,8.0,2016-01-01,0.0,0.34,0.41
50.0,7.0,2016-01-01,1.0,0.78,1.26
91.0,7.0,2016-01-01,1.0,0.26,0.26
39.0,1.0,2016-01-01,2.0,0.35,0.44
